Định dạng ô,Thông tin giải thích,
,Những ô viền đỏ là bắt buộc điền.,
,Có thể bỏ trống các ô màu xám.,
Đảm bảo điền vào tất cả các trường bắt buộc trước khi đăng,,
Cần hoàn thành thiết lập kho trước khi niêm yết sản phẩm,,
,,
Trường,Bắt buộc/không bắt buộc,Mô tả
Hạng mục,Bắt buộc,"Chọn hạng mục khớp với sản phẩm từ <b>danh sách thả xuống</b>. 

Nếu bạn niêm yết sản phẩm bị cấm/bị hạn chế hoặc gán sản phẩm vào không đúng hạng mục, TikTok Shop có thể thực hiện biện pháp cưỡng chế đối với cả bài niêm yết lẫn tài khoản người bán của bạn."
Nhãn hiệu,Không bắt buộc,"Chọn thương hiệu khớp với sản phẩm trong <b>menu thả xuống</b>.
Nếu bạn không chọn thương hiệu nào, phần này sẽ bị bỏ trống và được coi là không có thương hiệu."
Tên sản phẩm,Bắt buộc,"Tên sản phẩm phải ít hơn 255 ký tự
• Nhập tên cho sản phẩm của bạn.
• Nếu có nhiều SKU, hãy dùng tên nhất quán."
Mô tả sản phẩm,Bắt buộc,"Cung cấp mô tả chi tiết về sản phẩm, chẳng hạn như thông số kỹ thuật của sản phẩm, chất liệu, nội dung có trong hộp hàng, v.v.
Mô tả sản phẩm có cấu trúc và nhiều thông tin có thể giúp khách hàng đưa ra quyết định mua hàng.
Bạn nên cung cấp 3-5 lợi điểm bán hàng và có thể mô tả mỗi lợi điểm trong 250 ký tự, chẳng hạn như cảm nhận, cách sử dụng và lợi ích, v.v.
Chỉnh sửa để nội dung dễ đọc hơn bằng cách ngắt đoạn, đánh số, v.v."
Hình ảnh chính,Bắt buộc,"Thêm URL cho ảnh bìa sản phẩm của bạn trong cột này. Hình ảnh chất lượng cao là yếu tố cần thiết để danh sách của bạn thành công

Chúng tôi khuyên bạn nên tải hình ảnh lên Trung tâm phương tiện trước. Sau đó, hãy sao chép và thêm liên kết URL vào đúng cột.

Tham khảo trang tính ""Image"" (Hình ảnh) trong tập tin bảng tính này để biết thêm thông tin chi tiết."
